Time[s], SCL, SDA
0, 0, 0
0.000895375, 1, 0
0.000921875, 0, 0
0.001031, 1, 0
0.001057375, 0, 0
0.001166625, 1, 0
0.001193, 0, 0
0.00130225, 1, 0
0.001302375, 1, 1
0.00132775, 0, 1
0.00140975, 1, 1
0.00143625, 0, 1
0.00151825, 1, 1
0.0015195, 1, 0
0.0015455, 0, 0
0.001654625, 1, 0
0.001681, 0, 0
0.00179025, 1, 0
0.001816625, 0, 0
0.00192575, 1, 0
0.001928375, 1, 1
0.00195125, 0, 1
0.002033375, 1, 1
0.00203375, 1, 0
0.0020605, 0, 0
0.00216975, 1, 0
0.002196125, 0, 0
0.00230525, 1, 0
0.00233175, 0, 0
0.002440875, 1, 0
0.00246725, 0, 0
0.002576375, 1, 0
0.00260275, 0, 0
0.002712, 1, 0
0.002714, 1, 1
0.002737375, 0, 1
0.0028195, 1, 1
0.0028225, 1, 0
0.002846625, 0, 0
0.00295575, 1, 0
0.00298225, 0, 0
0.003091375, 1, 0
0.00311775, 0, 0
0.003226875, 1, 0
0.00325325, 0, 0
0.003362375, 1, 0
0.00338875, 0, 0
0.003498, 1, 0
0.003524375, 0, 0
0.0076185, 1, 0
0.007645, 0, 0
0.007754125, 1, 0
0.0077805, 0, 0
0.007889625, 1, 0
0.007916, 0, 0
0.008025125, 1, 0
0.008028375, 1, 1
0.00805075, 0, 1
0.00813275, 1, 1
0.008159125, 0, 1
0.008241125, 1, 1
0.008242375, 1, 0
0.008268375, 0, 0
0.0083775, 1, 0
0.008404, 0, 0
0.008513125, 1, 0
0.0085395, 0, 0
0.008648625, 1, 0
0.008651, 1, 1
0.008674125, 0, 1
0.008756125, 1, 1
0.0087595, 1, 0
0.008783375, 0, 0
0.0088925, 1, 0
0.008919, 0, 0
0.009028125, 1, 0
0.0090545, 0, 0
0.009163625, 1, 0
0.00919, 0, 0
0.009299125, 1, 0
0.0093255, 0, 0
0.00943475, 1, 0
0.0094365, 1, 1
0.009460125, 0, 1
0.009542125, 1, 1
0.009545125, 1, 0
0.009569375, 0, 0
0.0096785, 1, 0
0.009704875, 0, 0
0.009814125, 1, 0
0.0098405, 0, 0
0.009949625, 1, 0
0.009976, 0, 0
0.01008525, 1, 0
0.010111625, 0, 0
0.01022075, 1, 0
0.010247125, 0, 0
0.014342625, 1, 0
0.014369, 0, 0
0.014478125, 1, 0
0.0145045, 0, 0
0.01461375, 1, 0
0.014640125, 0, 0
0.014749375, 1, 0
0.01475025, 1, 1
0.014774875, 0, 1
0.014856875, 1, 1
0.014883375, 0, 1
0.014965375, 1, 1
0.014967375, 1, 0
0.014992625, 0, 0
0.01510175, 1, 0
0.01512825, 0, 0
0.015237375, 1, 0
0.015263875, 0, 0
0.015373, 1, 0
0.015376, 1, 1
0.015398625, 0, 1
0.015480625, 1, 1
0.015481375, 1, 0
